id,text,anger,fear,joy,sadness,surprise
eng_train_track_b_00094,after dragging myself through all of those sets my stomach being upset and my body feeling entirely fatigued the last thing i wanted to do was hop on the treadmill for some incline walking,0,2,0,1,0
eng_train_track_b_00095,the first five minutes i could feel my heart pounding in my chest as our qa went on i got more relaxed,0,1,1,0,0
eng_train_track_b_00096,and these were brutal wounds,1,2,0,2,1
eng_train_track_b_00097,slowly sliding down towards the floor not having the strength to stay up on my feet any longer hearing the words its time and thinking please no,0,3,0,2,0
eng_train_track_b_00098,my eyes welled up with tears and my voice cracked,0,1,0,2,0
eng_train_track_b_00099,however i made sure to take a few swishes of water just so my mouth felt like it got a lot of moisture,0,0,1,0,0
eng_train_track_b_00100,thankfully he doesnt really hold grudges so i think every day starts with a clean slate of course like a normal human being he has his limit which i am trying really really hard to avoid reachingalso my throat is dry and hurting because i slept with my mouth wide open last night and the two times i napped at the boys house i slept with it open again,0,1,0,0,0
eng_train_track_b_00101,look out your window,0,0,0,0,1
eng_train_track_b_00102,the silence cupped my ears where it was all i could see and hear,0,1,0,1,0
eng_train_track_b_00103,im happy that someone was there but then again there still is that part of me driven deep down and rooted in the ground that keeps on whispering in my ear in the end all you got is you remember that,0,1,1,1,0
eng_train_track_b_00104,so not an objection at the ceremony but my wifes parents and brother didnt come to the ceremony at all out of objection to us getting hitched,2,1,0,2,1
eng_train_track_b_00105,the stench hit me first,0,2,0,0,1
eng_train_track_b_00106,it was the dance of my heart,0,0,2,0,0
eng_train_track_b_00107,he gave me my love of science and education,0,0,2,0,0
eng_train_track_b_00108,i thought it was a joke,0,1,0,0,2
eng_train_track_b_00109,i feel like my stomachs had a growth spurt which leaves me aching and sore,0,2,0,1,0
eng_train_track_b_00110,i got a little burn on my finger and it ticked me off,1,1,0,1,0
eng_train_track_b_00111,im confused about it but keep pressing,0,2,0,0,1
eng_train_track_b_00112,the second time i saw her she told me she was a registered sex offender,1,2,0,1,2
eng_train_track_b_00113,she was rude to our photographer she was rude to a few guests and to us,3,0,0,0,0
eng_train_track_b_00114,an hour after i got here my eyes swelled up and are so itchy my athsma is ridiculous in vic i do nt even take medications,0,2,0,1,0
eng_train_track_b_00115,as usual i feel like im carrying too much burdens in my heart,0,1,0,2,0
eng_train_track_b_00116,i hate the idea of not making progress it breaks my heart to see time being wasted away standing stilli hate the idea that i can not see the world,1,1,0,3,0
eng_train_track_b_00117,but i spent two days reading and still didnt hit the end of this thread,1,1,0,0,1
eng_train_track_b_00118,but i was feeling really nervous and my hands were sweaty,0,3,0,0,0
eng_train_track_b_00119,and throw my hands in the air,0,0,1,0,0
eng_train_track_b_00120,then the cop shows up,0,2,0,0,2
eng_train_track_b_00121,teetering for a moment i caught myself from falling only to fling myself to my knees in the dirt,0,2,0,0,0
eng_train_track_b_00122,i fumbled my way toward the light and my fingers closed around the doorknob,0,2,0,0,0
eng_train_track_b_00123,i did as much time as i could on my feet for closing gate but had to sit for stretch before cannon,0,1,0,0,0
eng_train_track_b_00124,the weather up there are super cozy i went to wash my hand the water are freezing,0,1,0,0,0
eng_train_track_b_00125,but the emotional constrictor that had wrapped itself around my ribs and stomach seems to have gone and its not a strain to smile,0,0,1,0,0
eng_train_track_b_00126,nothing like the city to remind you that you are among humans and animalsproactive acne shit review so after only a week of using proactive i started to notice the difference in my skin,0,0,1,0,0
eng_train_track_b_00127,she certainly has the right name view at the glaciers in the distanceme being silly so i had a good morning before going to work and feeling the worldat least the hotel worldcrumbling at my feet,0,2,0,1,0
eng_train_track_b_00128,my heart beat so fast when the beautiful man give yunho a peck on his left cheek,0,1,1,0,0
eng_train_track_b_00129,the nightmares and fear were new and inexplicable,0,3,0,1,1
eng_train_track_b_00130,i could feel my heart breaking into millions of pieces,0,0,0,3,0
eng_train_track_b_00131,the kissing and touching dont stop they just get more interesting,0,0,2,0,1
eng_train_track_b_00132,i was trying to concentrate on not falling but i totally slipped and almost fell on my face,0,2,0,0,1
eng_train_track_b_00133,im not ashamed to say sometimes i have more fun clipping my nails pumicing my feet moisturizing my body and watching the wedding planner on tbs with a mask on my face while conditioning my hands and feet with special lotion and gloves booties on,0,0,2,0,0
eng_train_track_b_00134,we are earths last hope against extinction,0,2,0,1,1
eng_train_track_b_00135,went to a party at a friends house,0,0,2,0,0
eng_train_track_b_00136,jimmy gently poured some into my mouth dipping my head back and asking me to swallow,0,0,0,0,0
eng_train_track_b_00137,fast forward six months ive moved to central virginia for work,0,0,1,0,0
eng_train_track_b_00138,huge grin on my face now,0,0,1,0,0
eng_train_track_b_00139,pops been moved out of icu now and hes going well but now ive sprained my wrist stupid hockey,1,1,0,1,0
eng_train_track_b_00140,i told them i felt a bit sick so they hurriedly put a sickbowl on my chest then 10 seconds later i spewed up but a lot of it when all down my new white tshirt,0,2,0,2,1
eng_train_track_b_00141,eventually the fridge was back in place and i had even managed to score a minor victory against my fear of fire extinguishers as i successfully moved it across the room the fear comes from one fell on my foot long story,0,1,0,0,0
eng_train_track_b_00142,my jaw nearly dropped,0,0,0,0,3
eng_train_track_b_00143,after i wash my face and brush my teeth i go out from the kitchen and found that someone sleep on my place using my blanket and also pillow,0,1,0,0,1
eng_train_track_b_00144,not creepy but ghostly,0,2,0,0,1
eng_train_track_b_00145,what came out of my mouth was because white reigns supreme,1,2,0,1,2
eng_train_track_b_00146,dont walk away im talking to you theres bruises on my face,2,1,0,1,0
eng_train_track_b_00147,as i go to take the hook out of my 4th fish it shakes and embeds the hook in my hand,1,2,0,1,1
eng_train_track_b_00148,i saw peppermint patties,0,0,1,0,1
eng_train_track_b_00149,it better not be for my parenting,1,1,0,0,0
eng_train_track_b_00150,can i add a bridesmaidzilla story,0,0,1,0,1
eng_train_track_b_00151,we ended up keeping the old house and renting it out though,0,0,1,0,0
eng_train_track_b_00152,most mornings i drift in and out slowly shaking off the fuddle of sleep but yesterday i was right there with my eyes wide open and the clock saying eight,0,0,1,0,0
eng_train_track_b_00153,my god whats wrong with my arm,0,2,0,0,1
eng_train_track_b_00154,could be wrong though,0,1,0,0,0
eng_train_track_b_00155,every movement of the body below my waist caused pain in such a way that i could anticipate it and with a bit of understanding even cope,0,2,0,1,0
eng_train_track_b_00156,first day of school,0,1,1,0,0
eng_train_track_b_00157,she opened the door of the moving vehicle jumped out and landed on her feet,0,2,1,0,2
eng_train_track_b_00158,my mouth by then like cardboard,0,0,0,0,0
eng_train_track_b_00159,i was scared shitless,0,3,0,0,1
eng_train_track_b_00160,not a single soul,0,1,0,2,1
eng_train_track_b_00161,as the blood seems to return to my head i can think clearly and muster the energy to keep going,0,1,1,0,0
eng_train_track_b_00162,i fell out of a tree earlier today and landed on my head after about an eight foot drop onto concrete,0,2,0,2,1
eng_train_track_b_00163,but well need large plastic bags i dont know where to get those,0,1,0,0,0
eng_train_track_b_00164,i wish i had,0,0,0,2,0
eng_train_track_b_00165,the next thing i knew i felt this huge impact on my head and then a few more after that,0,2,0,0,1
eng_train_track_b_00166,i turn around hoping my back hid part of my drawing and look down at the paper in front of ryutaro my hand only inches away from his and start to explain the directions a little clearer to him,0,0,0,0,0
eng_train_track_b_00167,she was very wrong,1,0,0,0,0
eng_train_track_b_00168,they seemed quit some distance away from me,0,1,0,0,0
eng_train_track_b_00169,my back is jacked up again,1,1,0,1,0
eng_train_track_b_00170,of course i could have soaked my hand in a bucket for a couple of hours but thats not the case here,0,0,0,0,0
eng_train_track_b_00171,as he approached the edge of it he took to prep hops,0,1,0,0,1
eng_train_track_b_00172,in silence i prayed and searched my heart,0,1,0,1,0
eng_train_track_b_00173,i couldnt walk without tripping over her,1,1,0,0,0
eng_train_track_b_00174,you know the ones,0,0,0,0,1
eng_train_track_b_00175,i could hardly believe that after all this time after so many seasons spent reaping despair he was finally here in my arms,0,0,2,0,0
eng_train_track_b_00176,we could have been part of organized crime but my grandpa who died before i was born didnt want any part of it and decided to live an honest life,0,0,1,1,1
eng_train_track_b_00177,they hooked me up to an iv to give me some medicine not sure what kind and gave me a shot of adrenaline to try to get the swelling in my throat down,0,2,0,0,0
eng_train_track_b_00178,i remembered back to last week when my neck was really hurting,0,1,0,2,0
eng_train_track_b_00179,the form itself did not shed any light but was light,0,0,0,0,1
eng_train_track_b_00180,it was just a knick but and the blood the rain was cold but my tears were hot against my cheeks,0,1,0,3,0
eng_train_track_b_00181,it looked like there was a golfball on the side of my knee a purple blueish golfball,0,1,0,2,0
eng_train_track_b_00182,this is typical as they need to justify their existence,1,0,0,0,0
eng_train_track_b_00183,seemingly because the bartenders were very heavy handed,1,0,0,0,0
eng_train_track_b_00184,x 26 nbsp i folded my arms on the table and rested my head on my handsbut in a few moments there was a lot of tension in my jaw from this positon,0,1,0,0,0
eng_train_track_b_00185,my pride hurt worse than my leg did,1,0,0,1,0
eng_train_track_b_00186,on sunday i tucked the new license plates under my arm and headed out to the garage to find the duck tool,0,0,0,0,0
eng_train_track_b_00187,blotted out the moon,0,2,0,0,2
eng_train_track_b_00188,my hand hurt so bad afterwards,0,1,0,0,0
eng_train_track_b_00189,i had just had a procedure done to implant an intrathecal baclofen pump in my belly,0,2,0,0,0
eng_train_track_b_00190,last i heard that other guy was homeless and dead,0,1,0,3,1
eng_train_track_b_00191,with sudden resolution i took my hands from the rail,0,0,0,0,0
eng_train_track_b_00192,the following two days i was in a moderate amount of pain and had very limited range of motion in my arms,0,1,0,2,0
eng_train_track_b_00193,i felt a slight heat creep over my cheeks and i giggled lightly coming back to the thought that he was all mine,0,0,2,0,0
eng_train_track_b_00194,let me put it this way i burned so much as a kid that my nose is permanently redi look back on all of this skin damage and wish i could go back to my old self and do some kind of scared straight intervention,0,0,0,2,0
eng_train_track_b_00195,after the deception but before the divorce,1,1,0,2,0
eng_train_track_b_00196,it just went away,0,1,0,1,1
eng_train_track_b_00197,it was really nice to feel the sun on my face because the winter blues really are realfor me at least it was brents birthday while we were there and my awesome family throw him a little birthday party i was so glad that i didnt have to do a thing,0,0,3,0,0
eng_train_track_b_00198,stuck in this place with the world rushing by tears stream down my face as i stand here waiting to die,0,3,0,3,0
eng_train_track_b_00199,the cold outside feels so good on my skin,0,0,1,0,0
eng_train_track_b_00200,several times in the last couple weeks ive had to scratch my head cleverly for a few minutes trying to figure out how to get into my office,0,1,0,0,0
eng_train_track_b_00201,now i just sit there and nod my head as i listen to the excuses people use to not make positive changes in their life,0,0,0,0,0
eng_train_track_b_00202,not moving not menacing,0,1,0,0,0
eng_train_track_b_00203,the first thought that came into my head was that i needed to go to work as soon as possible,0,1,0,0,0
eng_train_track_b_00204,a rather regular occurrence happened at night upstairs,0,1,0,0,0
eng_train_track_b_00205,spiritsearch my heart,0,0,0,0,0
eng_train_track_b_00206,i play it over and over in my head word for word,0,1,0,1,0
eng_train_track_b_00207,so many things were going on in my life in my head and in my heart that i just couldnt write any of them down,0,1,0,2,0
eng_train_track_b_00208,it felt so real that i actually woke up,0,2,0,0,2
eng_train_track_b_00209,my exboyfriend was just a horrible liar,3,0,0,1,0
eng_train_track_b_00210,the police were trying to calm him down,0,1,0,0,0
eng_train_track_b_00211,my brain stops and then i feel like conking out,0,2,0,1,0
eng_train_track_b_00212,your son is not liking the strap around my belly,0,1,0,0,0
eng_train_track_b_00213,at one point it even came up to my foot to nibble on the grass near my toes,0,0,1,0,0
eng_train_track_b_00214,but it was good it kept me on my feet for a long whileknee,0,0,1,0,0
eng_train_track_b_00215,i pull the trigger feel the recoil in my hand along with the professionally almost muted sound and watch him shudder and then go limp against me,2,2,0,1,0
eng_train_track_b_00216,well i make it about 2 miles from my apartment when i notice a small drop on my arm and then another i say uh oh i better get back then it starts to rain a little then harder and harder to the point that im soaked even my shoes are filled with water,0,2,0,1,0
eng_train_track_b_00217,last night i walked into my room without turning on the light switch and tripped over a laundry basket and fell on my face,0,2,0,2,1
eng_train_track_b_00218,i was completely dumbstruck,0,0,0,0,3
eng_train_track_b_00219,as i was placing them in the to be thrown out pile something caught my eye and made me look closer,0,0,0,0,1
eng_train_track_b_00220,as i frantically grabbed at it to pull it up i dropped every single thing in my hands,2,2,0,0,1
eng_train_track_b_00221,we always just thought she was scared of the dark just like most kids are,0,1,0,0,0
eng_train_track_b_00222,she claimed i beat her raped her tortured and abused her,3,3,0,3,2
eng_train_track_b_00223,i had a lump in my throat several times,0,1,0,2,0
eng_train_track_b_00224,i know last time i did this i hurt my back a little but i never learn im hard headed i wanted to burn up some more calories,0,1,0,0,0
eng_train_track_b_00225,it started out slow like wed fight once a month over stupid little things and sometimes big things,1,1,0,2,0
eng_train_track_b_00226,i fell asleep with visions of 5 grand dancing in my head,0,0,2,0,0
eng_train_track_b_00227,i will defend this to the grave,2,0,0,0,0
eng_train_track_b_00228,coupled with the sound of rotors deafeningly stunning my ears and the very air in and around the cab of my car,0,2,0,0,1
eng_train_track_b_00229,apparently the aftermath of the clogged toilet was pretty gruesome,0,2,0,0,1
eng_train_track_b_00230,staring down at the device i felt this cold chill start at the base of my neck and spread throughout my body,0,3,0,0,1
eng_train_track_b_00231,it was funny because i thought i broke my arm,0,1,1,0,1
eng_train_track_b_00232,idk why my eyes just got really watery and i felt really scared and felt so lost all of a sudden,0,3,0,2,1
eng_train_track_b_00233,i did nt drink cause my lungs were giving me problems but the rest did,0,2,0,0,0
eng_train_track_b_00234,my heart melted,0,0,2,0,0
eng_train_track_b_00235,weird guy to say the least,0,1,0,0,1
eng_train_track_b_00236,even with an armed officer of the law at my back it was a bit unnerving to open the front door,0,2,0,0,0
eng_train_track_b_00237,the outer right side was throbbing in pain and shooting up to my ankle,0,2,0,2,0
eng_train_track_b_00238,my heart starts pounding as my eyes scroll up the dress and it was scarlett,0,1,0,0,1
eng_train_track_b_00239,i know that feel,0,0,1,1,0
eng_train_track_b_00240,i will lose sleep,0,2,0,1,0
eng_train_track_b_00241,then we finally saw what was going on,0,1,1,0,2
eng_train_track_b_00242,i jumped up frantically the receptionist cast an odd glance toward me and some net users stared and looked at my hands,0,2,0,0,0
eng_train_track_b_00243,when they are near me i either scream or my mind goes blank and i saw whatever pops into my head no seriously its kind of sad,0,1,0,2,0
eng_train_track_b_00244,for dessert and coffee we went to another cafe down the street,0,0,1,0,0
eng_train_track_b_00245,awkward lunch time sometimes i think my mouth just kinda glues shut on me,0,1,0,1,0
eng_train_track_b_00246,my head looked up automatically and the first person out of the others out there i saw him,0,1,0,0,1
eng_train_track_b_00247,i played around in the water haha just my feet in the water though it was too cold,0,0,1,0,0
eng_train_track_b_00248,first college room mate ever,0,0,1,0,1
eng_train_track_b_00249,and i cant breath through my nose,0,1,0,0,0
eng_train_track_b_00250,my head poked out of the grass again catching sight of the men nearing my position only about fifteen yards,0,2,0,1,0
eng_train_track_b_00251,it was mutually beneficial,0,0,1,0,0
eng_train_track_b_00252,telling me im going to hell,2,2,0,1,0
eng_train_track_b_00253,only in my foot,0,0,0,0,0
eng_train_track_b_00254,i want to learn about you communicate with you,0,0,1,0,0
eng_train_track_b_00255,id just started a new character on a different world than i usually play on then this guy wants to join my party,0,1,1,0,1
eng_train_track_b_00256,amused so yeah i broke my nose playing flag football yesterday,0,0,0,1,0
eng_train_track_b_00257,his last days were spent in a cone,0,0,0,2,0
eng_train_track_b_00258,i didnt notice either that i was still sitting on the floor the rug pattern branded on my knees,0,0,0,1,0
eng_train_track_b_00259,im very very pale and any bandages like that stick out like a dark brown blemish,0,1,0,1,0
eng_train_track_b_00260,plus my knees look more hardcore in black and blue,0,0,1,0,0
eng_train_track_b_00261,my hands are usually cool and i defend them spouting cold hands warm heart,0,0,1,0,0
eng_train_track_b_00262,there were dozens of us crying screaming or in shock,0,3,0,3,1
eng_train_track_b_00263,3woke up from a horrible dream of my ex boyfriend with his new girlfriend,1,2,0,2,0
eng_train_track_b_00264,my throat is now only a dull ache as one nurse said strep throat is the throat you dont forget boy was she right,0,1,0,1,0
eng_train_track_b_00265,i stopped a couple times to stretch out my calves and quads,0,0,0,0,0
eng_train_track_b_00266,my stomach is all out of whack,0,2,0,0,0
eng_train_track_b_00267,they are so pillowy that when i get in the car while she cheers at me she actually lifts her fat pillow let me sit next to her and then drops her huge mountain of fat on my thigh,0,0,0,0,0
eng_train_track_b_00268,i pulled it up still heard the gushing sound so i turned my head and the other one stopped immediately,0,1,0,0,0
eng_train_track_b_00269,the house is trashed,1,1,0,2,0
eng_train_track_b_00270,they immediately started shooting meth and heroin,1,3,0,2,1
eng_train_track_b_00271,scary going up but terrifying going down into awful la traffic,0,3,0,0,0
eng_train_track_b_00272,the part my grandfather said was broken and would lead to his doom was broken,0,2,0,2,1
eng_train_track_b_00273,we first met hatred was in my eyes i didnt want anything to do with you lies,2,1,0,1,0
eng_train_track_b_00274,most ive met off craigslist,0,1,0,0,1
eng_train_track_b_00275,i had been awake,0,1,0,0,1
eng_train_track_b_00276,we wanted to put off going down route thumper never went through without being hit well we had too anyway,0,2,0,0,0
eng_train_track_b_00277,i had an ant crawling on my elbow just now and i flicked him off,0,1,0,0,0
eng_train_track_b_00278,in the back of my head i was like great,0,0,0,0,0
eng_train_track_b_00279,she commented on everything that went into my mouth,1,0,0,0,0
eng_train_track_b_00280,i felt a gun pressed against my forehead and looked up,0,3,0,0,1
eng_train_track_b_00281,threw my underwear away in their kitchen garbage,0,1,0,0,1
eng_train_track_b_00282,i run to grab my friend only to see him dancing with another asian girl,2,0,0,1,2
eng_train_track_b_00283,i feel my head hurting and the next thing i know schools over im in the front of it with him and traci and hes pointing a finger at me and sortofyellingsortoftalking and saying you faker,1,2,0,2,1
eng_train_track_b_00284,she was brazilian or chinese or something weird,0,1,0,0,1
eng_train_track_b_00285,so stop shoving shit down my throat and into my head,3,1,0,0,0
eng_train_track_b_00286,i felt him press his face to my hair and start to whisper soothing things at me but i still couldnt hear anything but the pounding of my heart,0,3,0,0,0
eng_train_track_b_00287,despite my anxiety you were there with me diligently working in my heart stripping me of all of my pretense scourging me of all of my arrogance revealing each of my selfserving ways which have made my life a wasteland,0,1,1,1,0
eng_train_track_b_00288,so i decide to just lean against the railing and smoke my cigarette with a stupid look on my face,0,0,0,0,0
eng_train_track_b_00289,so many people from my family have seen someone in the reflection always in the same place matching the same description,0,2,0,0,2
eng_train_track_b_00290,the two proceeded to grab my body one at the knees and the other at my shoulders,0,1,0,0,0
eng_train_track_b_00291,my eyes were glassed over,0,1,0,1,0
eng_train_track_b_00292,one day during practice the question was read finish the opening line of the traditional american song which begins i wish i was,0,0,0,0,1
eng_train_track_b_00293,i just happened to hold the stresses and frustrations that most kids probably have with school parents new friends in my eyes,0,2,0,2,0
eng_train_track_b_00294,to this day were still not too sure of where it came from,0,2,0,0,2
eng_train_track_b_00295,they fit the intended recipient but are entirely too big for my feet,0,0,0,1,0
eng_train_track_b_00296,about 2 weeks ago i thought i pulled a muscle in my calf,0,1,0,1,0
eng_train_track_b_00297,xrays do not show soft tissue damage and i knew my bones were fine,0,0,0,0,0
